110;785;74;1091;59;69;37;89;54;73;28;92;6;88;8;8;33;56;32;57;258;185;132;119;46;39;23;30;92;105;108;89;
3303;35282;2516;56946;3829;5078;233;5866;1290;1382;167;2502;20;58;31;35;146;250;244;233;1148;1274;1123;1089;616;639;230;296;1151;1342;1660;1208;
8192;132853;7505;181518;10592;11700;339;14004;2408;3136;209;5374;26;53;38;39;174;293;287;290;1902;3250;2200;2198;1301;895;301;397;2134;2410;2591;3121;
15857;230553;14861;335868;24151;26733;426;32915;5927;7727;143;9986;43;74;73;76;303;606;635;916;3619;2749;3143;3137;1994;1366;442;573;3132;3938;4768;4229;
24065;367910;25091;551470;42908;47266;525;53796;11179;11457;162;20560;59;112;108;99;521;1339;1223;678;3896;4398;4503;3956;2837;2728;671;1088;4953;6665;7136;4872;
