22;91;12;129;6;8;1;11;11;12;10;16;2;40;2;2;11;16;9;17;70;62;77;79;20;18;12;14;51;62;63;41;
53;362;33;490;30;35;19;60;30;41;18;64;4;45;4;3;16;33;23;29;134;131;140;141;46;41;22;34;131;125;113;107;
102;1021;71;1082;74;88;31;97;58;66;31;121;4;43;6;5;23;38;21;42;221;216;201;234;83;94;47;52;181;234;253;242;
182;1689;102;1936;124;170;49;207;91;142;27;141;4;46;10;9;33;49;28;50;280;303;258;296;116;95;41;54;221;252;261;223;
280;3598;223;4512;202;236;49;256;106;139;41;173;5;44;8;8;35;60;35;60;343;326;313;307;134;112;51;65;273;300;335;359;
386;3305;200;4315;440;406;77;458;226;283;66;363;10;53;14;26;51;71;96;81;497;444;591;603;192;186;81;96;403;419;577;719;
