23;100;20;246;16;9;1;16;13;14;10;17;2;40;2;2;9;16;9;16;65;65;63;61;23;20;12;13;38;42;43;36;
50;392;30;397;32;35;16;40;32;38;11;46;3;40;4;4;21;28;15;27;126;133;126;125;47;40;19;27;92;107;112;91;
96;1543;100;976;83;91;28;94;58;71;26;83;4;41;5;5;22;38;23;37;217;233;225;212;86;67;34;50;158;178;187;157;
149;1688;115;2223;160;171;39;188;86;107;26;132;4;42;7;7;29;50;28;51;268;259;248;247;112;95;40;57;219;248;262;222;
207;2354;167;3389;208;238;50;256;118;149;43;186;6;43;8;9;35;59;35;59;319;324;317;315;149;122;53;69;280;333;335;284;
281;3824;259;4630;299;344;62;369;156;191;44;242;7;44;10;9;44;70;73;70;385;398;384;383;202;163;63;84;344;408;431;352;
