51;357;33;574;33;37;18;53;37;43;11;55;3;42;4;9;41;64;37;68;340;248;125;132;49;42;19;29;164;114;118;92;
3713;45421;3314;38454;2503;3613;198;4771;1936;1956;186;2916;21;41;21;22;96;162;157;153;1319;1918;1782;1457;942;904;243;222;1650;2460;2554;2236;
8270;79604;7668;112053;13169;12300;742;18476;4053;5826;201;7885;32;56;53;51;203;338;334;341;3251;3468;3649;3025;2224;1660;385;439;2468;4382;2809;2542;
21090;167189;12967;249256;23525;45676;896;42474;7213;8074;125;11371;54;68;66;71;297;464;460;463;3185;3665;4189;2747;2208;2240;906;1218;4194;5424;6384;4770;
22260;264901;27344;439476;33539;38306;599;40978;10688;12801;137;22138;51;81;96;106;412;894;1234;1201;6246;6941;5536;5781;4320;3406;926;1226;5936;6808;9684;6172;
